Harborwalk,Hanover St.,Commercial St.,Snow Hill St.,Stillman St.,Causeway St. - West End,Blossom St. - West End,Charles St. - Beacon Hill,Charles River Esplanade,MA State House - Beacon Hill
Harborwalk,0.00000,1.70000,2.76667,4.50000,2.73333,3.15000,4.46667,6.21667,6.90000,3.58333
Hanover St.,2.85000,0.00000,1.78333,2.93333,1.28333,3.01667,4.91667,6.23333,7.90000,8.80000
Commercial St.,4.53333,2.51667,0.00000,4.50000,2.73333,3.15000,4.46667,9.08333,7.20000,3.58333
Snow Hill St.,5.70000,2.58333,5.53333,0.00000,2.45000,3.73333,7.83333,6.06667,9.56667,5.70000
Stillman St.,3.50000,1.86667,3.50000,1.66667,0.00000,1.96667,5.68333,7.50000,7.36667,3.50000
Causeway St. - West End,2.46667,2.63333,2.46667,2.03333,2.23333,0.00000,1.96667,3.93333,3.91667,2.46667
Blossom St. - West End,4.46667,5.03333,4.46667,6.46667,5.21667,2.26667,0.00000,2.31667,2.41667,2.98333
Charles St. - Beacon Hill,5.40000,8.63333,5.60000,0.00000,7.08333,4.11667,2.26667,0.00000,2.51667,5.16667
Charles River Esplanade,7.20000,6.40000,8.06667,8.73333,7.95000,4.78333,2.60000,2.28333,0.00000,5.16667
MA State House - Beacon Hill,2.33333,6.23333,2.33333,4.50000,2.73333,3.15000,3.48333,7.90000,8.90000,0.00000
